# step Q_cathode(e) Q_anode(e) Q_total(e)
0 2.4573660241 -2.5085660722 -0.0512000481
500 2.3819457861 -2.4331459049 -0.0512001188
1000 2.4230909841 -2.4742910117 -0.0512000276
1500 2.4075424196 -2.4587424202 -0.0512000006
2000 2.4582608547 -2.5094607910 -0.0511999363
2500 2.4706893601 -2.5218892442 -0.0511998842
3000 2.4942429569 -2.5454430562 -0.0512000993
3500 2.4880613796 -2.5392614733 -0.0512000937
4000 2.4125633948 -2.4637634102 -0.0512000155
4500 2.4533858011 -2.5045857420 -0.0511999410
5000 2.4864188591 -2.5376188401 -0.0511999810
5500 2.4616504302 -2.5128504224 -0.0511999922
6000 2.4451723499 -2.4963723915 -0.0512000415
6500 2.5015946059 -2.5527945235 -0.0511999177
7000 2.4911042862 -2.5423042988 -0.0512000127
7500 2.5845670337 -2.6357670277 -0.0511999940
8000 2.5024806680 -2.5536805578 -0.0511998897
8500 2.4982921556 -2.5494922036 -0.0512000481
9000 2.5687764240 -2.6199765122 -0.0512000881
9500 2.5468566678 -2.5980566572 -0.0511999894
10000 2.5693276189 -2.6205275813 -0.0511999624
10500 2.5419320595 -2.5931320479 -0.0511999885
11000 2.5705669336 -2.6217668215 -0.0511998879
11500 2.5686093178 -2.6198093975 -0.0512000797
12000 2.5434497138 -2.5946496660 -0.0511999521
12500 2.5478922958 -2.5990922246 -0.0511999289
13000 2.6290787552 -2.6802787194 -0.0511999642
13500 2.5327476785 -2.5839476278 -0.0511999493
14000 2.5438326281 -2.5950325765 -0.0511999484
14500 2.5740035642 -2.6252035489 -0.0511999847
15000 2.5505947992 -2.6017948389 -0.0512000397
