# trial accept dz_A gap_A E_kJmol density_g_ml
20 1 0.125274 61.945926 150555896.837841 0.694624
40 0 -0.067738 63.786465 140952862.018711 0.674581
60 1 0.325384 66.779139 126344859.077573 0.644350
80 0 -0.365207 69.918550 112358038.188365 0.615418
100 0 -0.130029 69.950444 112221763.813256 0.615137
120 0 0.264395 69.979346 112097852.006989 0.614883
140 0 0.200036 69.979346 112097852.006989 0.614883
160 0 -0.283548 69.989678 112055918.035078 0.614792
180 0 0.313358 69.989678 112055918.035078 0.614792
200 0 0.153750 69.989678 112055918.035078 0.614792
