#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-86195.69234108092,18857.0257707816,-67338.66657029932,192.5933167929076,265.6670336272941,0.48994543781625705,0
1000,-80288.38244191313,25885.16951777467,-54403.212924138454,264.37417617042667,249.17244224227846,0.5223785982613189,9.45
1500,-79160.30556284636,28067.819342318187,-51092.486220528175,286.66633264388474,241.17428632536073,0.5397024412804642,9.27
2000,-79794.44849299632,29199.081918497628,-50595.366574498694,298.22030803525723,233.06328441024863,0.5584850116277997,9.2
2500,-79751.81216921491,29533.76290683364,-50218.049262381275,301.63852055692837,227.55363713051764,0.5720073418523907,9.1
3000,-80379.27904521866,29895.96874321322,-50483.31030200544,305.33785385784483,218.31196431462664,0.5962217944055673,8.97
3500,-81182.90532582274,29507.79077507283,-51675.1145507499,301.37325820533596,213.28459038656928,0.6102754581001709,8.89
4000,-81982.67343792265,29416.49283706324,-52566.180600859414,300.4408008331418,203.73824440103294,0.6388704854433847,8.77
4500,-82688.67594467281,29902.46970625794,-52786.206238414874,305.40425043863917,201.9236320503747,0.6446117761560408,8.63
5000,-83037.491576772,28952.075722964422,-54085.41585380757,295.69754845246825,196.69449802129336,0.6617488156164898,8.56
5500,-83396.64852778084,29352.18961556732,-54044.45891221352,299.78404982378817,193.45222821754666,0.6728397615430763,8.49
6000,-83883.32638628528,29695.20791880723,-54188.118467478045,303.2874142220069,190.0664760983726,0.6848254030684655,8.41
6500,-84055.81507410434,29826.55267081174,-54229.262403292596,304.6288835363823,187.59804129682857,0.6938364079074814,8.36
7000,-83998.8268029214,29019.178597186914,-54979.648205734484,296.38289328202626,184.42085749736214,0.7057897510629059,8.3
7500,-84575.46525409468,29681.05892962078,-54894.40632447391,303.1429057088506,182.55907861033032,0.7129875550133582,8.24
8000,-85174.17122246834,29334.346333671685,-55839.82488879666,299.6018102233059,180.1806545290204,0.7223991468124376,8.2
8500,-84889.21460061101,29481.235674666397,-55407.97892594461,301.10204179362756,177.63127634763887,0.7327670767232036,8.15
9000,-85147.64884556762,29377.088753664077,-55770.560091903535,300.03835332051295,176.58545459867517,0.7371068664726105,8.11
9500,-85813.96367074104,29314.17507959657,-56499.78859114447,299.39579423894963,174.1581300553965,0.7473802748253476,7.89
10000,-86190.6204145432,29568.335183737887,-56622.28523080531,301.9916191610778,172.67508573184665,0.7537992557073616,7.84
10500,-86553.0074119379,29352.41430458587,-57200.59310735203,299.78634465033474,170.4652511789167,0.763571168925538,7.51
11000,-87324.05988710705,29137.52246697397,-58186.537420133085,297.59158009623815,169.10893658604883,0.7696952847766239,7.44
11500,-86314.46308315871,28766.66879631938,-57547.79428683933,293.8039234771937,168.60426671012246,0.7719991530680305,7.42
12000,-86836.7882578092,29019.523383016298,-57817.2648747929,296.38641469877945,167.4773038103158,0.7771939728101446,7.38
12500,-86572.61749143964,29396.734625355533,-57175.88286608411,300.2390033931351,165.83573081537335,0.7848872523665119,7.36
13000,-86792.79253731963,29098.17460466409,-57694.61793265554,297.1897067890111,164.77804504369107,0.7899253269412086,7.32
13500,-86738.97396152955,29166.277942528293,-57572.69601900126,297.88526969926903,163.87383485364674,0.7942839149405205,7.24
14000,-86407.50578543026,29186.788322922406,-57220.71746250785,298.0947492978443,164.03253163926829,0.7935154679567896,7.23
14500,-87024.21658719989,29760.11807683002,-57264.09851036987,303.95036408372533,164.27056361331668,0.7923656450723908,7.24
15000,-86993.78423613173,29791.23094771567,-57202.553288416064,304.26813057944184,162.83255646122333,0.7993631859171081,7.25
