#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-87162.3690380349,18994.627352815158,-68167.74168521975,194.02340353153514,155.80102433488884,0.8354396362894988,0
1000,-81832.78279846327,25913.37635378946,-55919.40644467382,264.69597869792756,148.84896691618545,0.8744592172894508,35.5
1500,-80974.24136232531,28416.32788414071,-52557.9134781846,290.2627437506381,138.16034596058648,0.9421107785949145,31.7
2000,-81269.09646774262,29295.133891415328,-51973.96257632729,299.2394364442228,131.16598004346943,0.9923484051332063,34.1
2500,-83071.66812637993,29190.458826752707,-53881.20929962722,298.1702176628543,125.11936999711207,1.0403053588495148,35.3
3000,-83895.77742314117,29472.95835274806,-54422.81907039312,301.0558504531992,121.4234315786697,1.0719706189454814,35.6
3500,-84410.72653232916,29278.998410049775,-55131.72812227939,299.0746182062014,118.47276933966732,1.0986689332017632,35.8
4000,-84737.0804760839,29564.63660276758,-55172.44387331631,301.9923113675517,116.99341673612717,1.112561328108278,35.7
4500,-85408.87862763544,29052.56105351357,-56356.317574121866,296.76164065808825,115.30319723352675,1.1288702674935325,35.8
5000,-85828.71062938907,29312.936661194355,-56515.77396819471,299.4212854439771,114.68370579771769,1.134968129940402,35.9
5500,-85951.36114567798,29535.31016925633,-56416.05097642165,301.6927522165557,114.40713042936589,1.1377118770078072,36
6000,-85993.18755591115,29177.056140858174,-56816.13141505298,298.0333139644864,113.91831731370951,1.1425936949667925,35.6
6500,-86310.25932696859,29355.369348443437,-56954.889978525156,299.8547203436534,111.85861433898047,1.1636327865587721,35.6
7000,-86422.34118398903,29474.538760791216,-56947.80242319782,301.07199376266277,111.33379660661218,1.1691180492459776,35.6
7500,-86946.78393537593,29202.817862539105,-57743.96607283683,298.29646084431323,110.66021134386654,1.1762344344292208,35.7
8000,-87215.23224316227,29489.986600311247,-57725.24564285103,301.2297879823235,110.70341267349716,1.1757754161361305,35.7
8500,-87245.82070935833,29426.67015583512,-57819.15055352321,300.5830328852854,110.4818237386231,1.1781336214344884,35.7
9000,-87159.581147338,29283.60370040427,-57875.97744693373,299.12165961913536,109.7566599605943,1.1859175666479171,35.6
9500,-87945.5677249251,29088.99021198688,-58856.577512938224,297.13375163365487,108.85874415015803,1.1956995473356462,35.6
10000,-87678.55521975644,29085.648949248985,-58592.906270507454,297.09962181597234,108.87351240409947,1.1955373555025472,35.5
10500,-86882.09420513944,29020.806321113763,-57861.287884025674,296.4372772923847,109.92119362521397,1.1841424461571162,35.3
11000,-87304.80873431629,29072.402106657493,-58232.4066276588,296.9643100018521,109.37569680728424,1.19004819995078,35.2
11500,-88013.78986172425,29560.308289095745,-58453.4815726285,301.9480991735158,108.6555280770938,1.1979358382163257,35.2
12000,-88113.11139470618,29286.618997725687,-58826.492396980495,299.15245981532206,107.92183470732878,1.2060798582312444,35.1
12500,-88275.15620421621,29742.61057063132,-58532.54563358489,303.81025253288954,108.65593640512665,1.1979313363842077,35.1
13000,-88413.512041448,29250.56364546056,-59162.94839598745,298.7841671380261,107.71842893355577,1.2083573107453993,35.1
13500,-88313.03976832697,28790.176291636963,-59522.86347669001,294.0814730723543,107.78666922971777,1.2075922935002794,35.1
14000,-88584.5535746606,28633.914456490696,-59950.63911816991,292.4853136671702,107.82983062052222,1.2071089266748631,35.1
14500,-88730.85005517188,29221.87676092365,-59508.97329424822,298.4911407537131,106.97214681105449,1.2167873131851543,35.1
15000,-89150.77087059262,29487.74595520984,-59663.024915382775,301.2069005847133,106.75185950415033,1.2192982090284843,35.1
