# step Q_cathode(e) Q_anode(e) Q_total(e)
0 6.8086208068 -6.8598209743 -0.0512001675
1000 6.8225220388 -6.8737218136 -0.0511997747
2000 7.0457465311 -7.0969463778 -0.0511998467
3000 7.1467664833 -7.1979660403 -0.0511995570
4000 7.1290292281 -7.1802292312 -0.0512000031
5000 7.0798070231 -7.1310074087 -0.0512003857
6000 6.9560037828 -7.0072038767 -0.0512000939
7000 7.0486453632 -7.0998455472 -0.0512001840
8000 7.1562987375 -7.2074988869 -0.0512001493
9000 7.1226077036 -7.1738078650 -0.0512001615
10000 7.2759266566 -7.3271267670 -0.0512001105
11000 7.1360652838 -7.1872648119 -0.0511995282
12000 7.2794634220 -7.3306632361 -0.0511998141
13000 7.0867515074 -7.1379512616 -0.0511997542
14000 7.1453013590 -7.1965012159 -0.0511998569
15000 7.2227341372 -7.2739340013 -0.0511998641
16000 7.2888191892 -7.3400191674 -0.0511999782
17000 7.0937238350 -7.1449242404 -0.0512004055
18000 7.0749303964 -7.1261302670 -0.0511998706
19000 7.0810963702 -7.1322958202 -0.0511994499
20000 7.0060373701 -7.0572374708 -0.0512001007
21000 7.0664221649 -7.1176222283 -0.0512000634
22000 7.1729948074 -7.2241952627 -0.0512004553
23000 7.1977889633 -7.2489892170 -0.0512002537
24000 7.2054788407 -7.2566798073 -0.0512009666
25000 7.1402429708 -7.1914428917 -0.0511999209
26000 7.1269962159 -7.1781962786 -0.0512000627
27000 6.8405745523 -6.8917745978 -0.0512000455
28000 7.0263644250 -7.0775643303 -0.0511999053
29000 7.2117437450 -7.2629437568 -0.0512000117
30000 7.1051273532 -7.1563270988 -0.0511997456
31000 7.0994303674 -7.1506302357 -0.0511998683
32000 6.9725653245 -7.0237652371 -0.0511999126
33000 7.1150591951 -7.1662594990 -0.0512003039
34000 6.8780712443 -6.9292708614 -0.0511996171
35000 6.9162164801 -6.9674162404 -0.0511997603
36000 7.0926789115 -7.1438794173 -0.0512005058
37000 7.0816173228 -7.1328177920 -0.0512004693
38000 7.2043788331 -7.2555797007 -0.0512008676
39000 7.3024764794 -7.3536763804 -0.0511999009
40000 7.2004177817 -7.2516180777 -0.0512002960
41000 7.1873192794 -7.2385189394 -0.0511996599
42000 7.1792705592 -7.2304705125 -0.0511999533
43000 7.0900654418 -7.1412653979 -0.0511999561
44000 7.2900482479 -7.3412482042 -0.0511999563
45000 7.1432627777 -7.1944621140 -0.0511993363
46000 6.9980657748 -7.0492664743 -0.0512006995
47000 7.1665861546 -7.2177861296 -0.0511999750
48000 7.1862447087 -7.2374450772 -0.0512003684
49000 7.2241117912 -7.2753118027 -0.0512000115
50000 6.9002437838 -6.9514437229 -0.0511999391
51000 7.0974487958 -7.1486487670 -0.0511999712
52000 6.9405081978 -6.9917079185 -0.0511997207
53000 6.9251714300 -6.9763714552 -0.0512000252
54000 7.0495300321 -7.1007300871 -0.0512000551
55000 7.0234013493 -7.0746013382 -0.0511999889
56000 7.0889841972 -7.1401840628 -0.0511998655
57000 7.0560122903 -7.1072125870 -0.0512002967
58000 7.1421083836 -7.1933079839 -0.0511996003
59000 7.2353212417 -7.2865214723 -0.0512002306
60000 7.2123989493 -7.2635988784 -0.0511999291
61000 7.1583120627 -7.2095122051 -0.0512001424
62000 7.0736694592 -7.1248693799 -0.0511999207
63000 7.2159503279 -7.2671500195 -0.0511996916
64000 7.3000722264 -7.3512720466 -0.0511998201
65000 7.1852508539 -7.2364506060 -0.0511997521
66000 7.1961067815 -7.2473072025 -0.0512004211
67000 7.2858400350 -7.3370399377 -0.0511999028
68000 7.1289283847 -7.1801282167 -0.0511998320
69000 7.1032443729 -7.1544444349 -0.0512000620
70000 7.1650768719 -7.2162767088 -0.0511998369
71000 7.1340813653 -7.1852809850 -0.0511996197
72000 7.1625016623 -7.2137019378 -0.0512002755
73000 7.1704777242 -7.2216774663 -0.0511997421
74000 7.2422510041 -7.2934517651 -0.0512007610
75000 7.0098691448 -7.0610689730 -0.0511998283
76000 6.9887958942 -7.0399960158 -0.0512001216
77000 7.1649589420 -7.2161588066 -0.0511998646
78000 7.0426266342 -7.0938264348 -0.0511998006
79000 7.1692711134 -7.2204717889 -0.0512006755
80000 6.9813546063 -7.0325545254 -0.0511999191
81000 6.9447371908 -6.9959369965 -0.0511998057
82000 6.9431719130 -6.9943716652 -0.0511997521
83000 6.9129992204 -6.9641990531 -0.0511998327
84000 6.8981500398 -6.9493500444 -0.0512000045
85000 6.9521625675 -7.0033628051 -0.0512002376
86000 6.8534420377 -6.9046416499 -0.0511996122
87000 6.9261536743 -6.9773542727 -0.0512005985
88000 6.7992393579 -6.8504397895 -0.0512004315
89000 6.8679073218 -6.9191074495 -0.0512001277
90000 6.8698838882 -6.9210837756 -0.0511998874
91000 6.9256228819 -6.9768225697 -0.0511996879
92000 6.7762792781 -6.8274791329 -0.0511998548
93000 6.8446743267 -6.8958740933 -0.0511997666
94000 6.8491598670 -6.9003596772 -0.0511998101
95000 6.7731219728 -6.8243220809 -0.0512001081
96000 6.9350901700 -6.9862901145 -0.0511999445
97000 7.2269373385 -7.2781378552 -0.0512005168
98000 7.2150408442 -7.2662405092 -0.0511996651
99000 7.1907247719 -7.2419241678 -0.0511993959
100000 7.0611079826 -7.1123077816 -0.0511997989
101000 7.0427609470 -7.0939606524 -0.0511997053
102000 7.1261291231 -7.1773297300 -0.0512006069
103000 7.3022239921 -7.3534236823 -0.0511996902
104000 7.1705712944 -7.2217710991 -0.0511998048
