# target_density_g_ml 1.20352817
# target_gap_angstrom 35.75247131
# gap_bounds_angstrom 30.00000000 60.00000000
# initialize_to_target_gap 1
# trial accept dz_A gap_A E_kJmol density_g_ml
20 0 -1.000000 37.961549 5317910.652217 1.133492
40 1 0.097957 39.116562 4808251.257686 1.100023
60 0 -1.000000 39.257452 4753260.776729 1.096075
80 0 -1.000000 39.261844 4751568.849605 1.095952
100 0 -1.000000 39.274728 4746630.815670 1.095593
120 0 -1.000000 39.274728 4746630.815670 1.095593
140 0 -0.227578 39.285169 4742627.216548 1.095302
160 0 -0.975178 39.333975 4723967.973384 1.093942
180 0 -1.000000 39.416015 4693062.616085 1.091666
200 0 -1.000000 39.420498 4691430.467037 1.091541
220 0 -0.177496 39.420498 4691430.467037 1.091541
240 0 -1.000000 39.464161 4675163.813716 1.090334
260 0 -1.000000 39.464161 4675163.813716 1.090334
280 0 -1.000000 39.518760 4654979.118282 1.088827
300 0 -0.335808 39.518760 4654979.118282 1.088827
320 0 -0.332058 39.532318 4650016.756587 1.088454
340 0 -1.000000 39.556821 4641030.731624 1.087780
360 0 -1.000000 39.556821 4641030.731624 1.087780
380 0 -1.000000 39.567699 4637073.752559 1.087481
400 0 -1.000000 39.567699 4637073.752559 1.087481
420 0 -1.000000 39.567699 4637073.752559 1.087481
440 0 -0.346418 39.567699 4637073.752559 1.087481
460 0 -0.425693 39.567699 4637073.752559 1.087481
480 0 -0.181216 39.605562 4623268.315731 1.086441
500 0 -1.000000 39.605562 4623268.315731 1.086441
520 0 -1.000000 39.605562 4623268.315731 1.086441
540 0 -1.000000 39.608401 4622230.303585 1.086363
560 0 -1.000000 39.608401 4622230.303585 1.086363
580 0 -1.000000 39.608401 4622230.303585 1.086363
600 0 -0.862746 39.608401 4622230.303585 1.086363
620 0 -1.000000 39.616990 4619139.318782 1.086128
640 0 -1.000000 39.616990 4619139.318782 1.086128
660 0 -1.000000 39.616990 4619139.318782 1.086128
680 0 -0.766922 39.633160 4613285.578975 1.085684
700 0 -0.713391 39.640947 4610545.068233 1.085471
720 0 -0.607914 39.640947 4610545.068233 1.085471
740 0 -0.314662 39.640947 4610545.068233 1.085471
760 0 -1.000000 39.640947 4610545.068233 1.085471
780 0 -0.196462 39.654641 4605634.514278 1.085096
800 1 0.008465 39.663106 4602581.663448 1.084865
