#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-96009.88803150185,25948.591796875,-70061.29623462685,265.0219298108457,272.25,0.4780986266441538,0
2000,-93868.73807193764,29167.6171875,-64701.12088443764,297.8989478706962,272.25,0.4780986266441538,106
3000,-94123.10610630043,29358.3203125,-64764.78579380043,299.84666474890247,272.25,0.4780986266441538,106
4000,-95168.69778873451,28926.318359375,-66242.37942935951,295.43447960238404,272.25,0.4780986266441538,106
5000,-94410.92250110634,28779.76171875,-65631.16078235634,293.93764601584206,272.25,0.4780986266441538,106
6000,-95048.26836063393,29122.578125,-65925.69023563393,297.4389483703742,272.25,0.4780986266441538,106
7000,-95492.00048114784,29037.69140625,-66454.30907489784,296.5719709947023,272.25,0.4780986266441538,105
8000,-95831.95161106117,29305.47265625,-66526.47895481117,299.30691338378057,272.25,0.4780986266441538,105
9000,-96293.91587497719,29017.796875,-67276.11899997719,296.36878127613,272.25,0.4780986266441538,105
10000,-95969.47476627358,29247.11328125,-66722.36148502358,298.7108689314987,272.25,0.4780986266441538,105
11000,-96184.90676548012,29281.23828125,-66903.66848423012,299.05939934215024,272.25,0.4780986266441538,105
12000,-96554.91064884193,29603.86328125,-66951.04736759193,302.3544798912042,272.25,0.4780986266441538,105
13000,-96166.88498355873,29537.4296875,-66629.45529605873,301.67597065425923,272.25,0.4780986266441538,104
14000,-96967.3055005265,29536.33203125,-67430.9734692765,301.6647599118836,272.25,0.4780986266441538,104
15000,-97052.96617557533,29555.84765625,-67497.11851932533,301.86407973006305,272.25,0.4780986266441538,104
16000,-97455.32356311806,29396.169921875,-68059.15364124306,300.2332358814584,272.25,0.4780986266441538,104
17000,-97089.63107730873,29763.8984375,-67325.73263980873,303.98897421286,272.25,0.4780986266441538,104
18000,-97476.93709232338,29677.720703125,-67799.21638919838,303.10881124873566,272.25,0.4780986266441538,104
19000,-97460.19523288734,29174.76953125,-68285.42570163734,297.97199722759905,272.25,0.4780986266441538,104
20000,-97755.63959171303,29045.052734375,-68710.58685733803,296.6471547812034,272.25,0.4780986266441538,104
21000,-97695.19650699623,29387.26171875,-68307.93478824623,300.1422533263427,272.25,0.4780986266441538,104
22000,-97271.87798740395,29419.005859375,-67852.87212802895,300.466467197927,272.25,0.4780986266441538,103
23000,-97525.62955142983,29401.48828125,-68124.14127017983,300.28755412254156,272.25,0.4780986266441538,103
24000,-97614.89477588661,29179.98046875,-68434.91430713661,298.02521833197284,272.25,0.4780986266441538,103
25000,-97966.16799213417,29190.7421875,-68775.42580463417,298.13513148230993,272.25,0.4780986266441538,103
26000,-97364.83066226967,29327.7421875,-68037.08847476967,299.5343597975998,272.25,0.4780986266441538,103
27000,-98001.3939633561,29571.35546875,-68430.0384946061,302.02246637501344,272.25,0.4780986266441538,103
28000,-97700.8381467057,29649.44140625,-68051.3967404557,302.81998502301315,272.25,0.4780986266441538,103
29000,-98168.85869266518,29275.111328125,-68893.74736454018,298.9968226538367,272.25,0.4780986266441538,103
30000,-98003.2773328019,28880.19140625,-69123.0859265519,294.96336909938736,272.25,0.4780986266441538,103
31000,-98230.09676029213,29017.62890625,-69212.46785404213,296.3670657532753,272.25,0.4780986266441538,103
32000,-98093.61299564369,28740.40234375,-69353.21065189369,293.5356551255346,272.25,0.4780986266441538,103
33000,-97904.07295658119,28891.98828125,-69012.08467533119,295.0838546580146,272.25,0.4780986266441538,103
34000,-98135.6726956559,29280.80078125,-68854.8719144059,299.05493100355216,272.25,0.4780986266441538,103
35000,-97895.02931644447,29148.4453125,-68746.58400394447,297.70313888998675,272.25,0.4780986266441538,103
36000,-98087.95279361733,29171.6171875,-68916.33560611733,297.9398012521645,272.25,0.4780986266441538,103
37000,-98155.39680149086,29151.578125,-69003.81867649086,297.7351353860195,272.25,0.4780986266441538,103
38000,-98007.76800968178,28726.421875,-69281.34613468178,293.39286776979725,272.25,0.4780986266441538,103
39000,-98060.46587802895,29226.92578125,-68833.54009677895,298.50468702190074,272.25,0.4780986266441538,103
40000,-97642.79745914467,29164.412109375,-68478.38534976967,297.86621330087706,272.25,0.4780986266441538,103
