# step Q_left_e Q_right_e Q_total_e
1000 -2.2318082315 2.1806084082 -0.0511998233
2000 -2.1108375221 2.0596375693 -0.0511999528
3000 -2.2248940654 2.1736939540 -0.0512001114
4000 -2.2491237929 2.1979238512 -0.0511999418
5000 -2.3467113538 2.2955114435 -0.0511999103
6000 -2.2506561348 2.1994561085 -0.0512000263
7000 -2.2766361449 2.2254363787 -0.0511997663
8000 -2.3381887303 2.2869886124 -0.0512001179
9000 -2.3397416407 2.2885418174 -0.0511998233
10000 -2.4409317610 2.3897317468 -0.0512000142
11000 -2.3892056657 2.3380057274 -0.0511999383
12000 -2.4504605520 2.3992604757 -0.0512000764
13000 -2.5116001434 2.4604000088 -0.0512001346
14000 -2.3804443120 2.3292441979 -0.0512001142
15000 -2.5099401817 2.4587402442 -0.0511999376
16000 -2.5386956000 2.4874954728 -0.0512001272
17000 -2.5257065567 2.4745066346 -0.0511999221
18000 -2.6050069412 2.5538067400 -0.0512002011
19000 -2.6682582409 2.6170582680 -0.0511999730
20000 -2.6594261740 2.6082262000 -0.0511999740
21000 -2.6775426106 2.6263424926 -0.0512001180
22000 -2.7385777191 2.6873775637 -0.0512001555
23000 -2.8368102033 2.7856100583 -0.0512001451
24000 -2.9144207462 2.8632207718 -0.0511999745
25000 -2.8471055792 2.7959056100 -0.0511999692
26000 -2.9074230777 2.8562230988 -0.0511999789
27000 -2.7373865533 2.6861867505 -0.0511998028
28000 -2.8075937242 2.7563938692 -0.0511998549
29000 -2.8030031073 2.7518028982 -0.0512002091
30000 -2.6854210382 2.6342210183 -0.0512000199
31000 -2.6769840267 2.6257840111 -0.0512000156
32000 -2.8892223895 2.8380225698 -0.0511998197
33000 -2.8912760542 2.8400762798 -0.0511997744
34000 -2.8947862840 2.8435862415 -0.0512000425
35000 -3.0176609108 2.9664610028 -0.0511999080
36000 -2.8581691697 2.8069689546 -0.0512002151
37000 -2.8720782134 2.8208782014 -0.0512000120
38000 -2.8530152312 2.8018152089 -0.0512000224
39000 -2.7429181415 2.6917183170 -0.0511998245
40000 -2.7764755008 2.7252754024 -0.0512000984
41000 -2.9107494071 2.8595490592 -0.0512003479
42000 -2.8415793544 2.7903794405 -0.0511999139
43000 -2.8389726824 2.7877728645 -0.0511998179
44000 -2.8576169636 2.8064170601 -0.0511999036
45000 -2.9452608418 2.8940609173 -0.0511999245
46000 -2.7403703661 2.6891703228 -0.0512000433
47000 -2.8777983923 2.8265983470 -0.0512000453
48000 -2.7721491451 2.7209490991 -0.0512000460
49000 -2.8035880960 2.7523881793 -0.0511999167
50000 -2.6901014426 2.6389015292 -0.0511999134
51000 -2.8734814058 2.8222814073 -0.0511999985
52000 -2.8384597271 2.7872598920 -0.0511998352
53000 -2.9909747556 2.9397747836 -0.0511999720
54000 -3.0175258392 2.9663259515 -0.0511998877
55000 -2.9219673706 2.8707673080 -0.0512000626
56000 -2.8053115825 2.7541117011 -0.0511998813
57000 -2.8066648791 2.7554651715 -0.0511997076
58000 -2.8087032319 2.7575029491 -0.0512002828
59000 -2.7599351004 2.7087349305 -0.0512001700
60000 -2.7909505458 2.7397505922 -0.0511999537
61000 -2.7281592945 2.6769593814 -0.0511999131
62000 -2.7818474075 2.7306475855 -0.0511998220
