#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-85236.8700204551,25386.287109375,-59850.5829110801,259.3119483999601,259.4509334481926,0.5016838805471548,0
2000,-83245.02715275073,28835.33203125,-54409.69512150073,294.5427229892897,252.1396652823127,0.5162311568793916,813
3000,-84514.25249705158,29184.58984375,-55329.66265330158,298.1102680762527,244.084449738896,0.533267691748119,806
4000,-84906.25697868172,29132.583984375,-55773.67299430672,297.57904660756594,238.8257049734307,0.5450098058680551,793
5000,-86156.58398817552,28643.68359375,-57512.900394425524,292.58510195074166,232.44589278829733,0.5599683846529294,787
6000,-86365.21078005654,29109.8984375,-57255.31234255654,297.3473217659091,229.6896007037883,0.5666880464115156,789
7000,-87173.15135004159,29140.8515625,-58032.29978754159,297.66349699540353,225.13165010592863,0.5781610495131496,796
8000,-86862.84857968212,28838.4296875,-58024.41889218212,294.57436445281684,223.58872963814025,0.5821507699181788,787
9000,-86937.53977557961,29534.44921875,-57403.090556829615,301.68395791149203,222.0742231284591,0.5861209341193027,780
10000,-86857.55426664697,29232.78125,-57624.77301664697,298.60252625473225,219.8974562488179,0.5919229504710134,775
11000,-87869.2567198564,28866.421875,-59002.83484485641,294.86029475248324,216.59342660311694,0.6009524533834479,777
12000,-88334.37307082192,29049.3046875,-59285.06838332192,296.7283780304324,212.49924718165153,0.612530881074622,777
13000,-88099.82276157098,29632.65625,-58467.16651157098,302.68710801809465,210.10506139013776,0.6195107830466602,774
14000,-88313.6745195894,29424.73828125,-58888.936238339404,300.5632994693442,207.9913615462213,0.6258065245413823,777
15000,-88918.70541758099,29154.9453125,-59763.76010508099,297.80745966930755,205.36912190530745,0.6337970864183115,781
16000,-88617.09402458003,29784.5078125,-58832.58621208003,304.2382180472927,205.6420125211751,0.6329560263881777,783
17000,-89174.9463032996,29460.08984375,-59714.8564595496,300.92440318298935,203.36147307793112,0.6400541318560903,784
18000,-89397.307945132,29148.38671875,-60248.92122638199,297.74046595270977,199.61192223336369,0.652077038523279,787
19000,-89721.91045560071,29045.544921875,-60676.36553372571,296.68997335370494,197.45924952956912,0.6591858898176322,788
