#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-95609.7276848844,27090.685546875,-68519.0421380094,276.72177590934626,175.99471568999994,0.7395810186320653,0
2000,-94395.64894953284,28765.802734375,-65629.84621515784,293.83250580133085,175.99471568999994,0.7395810186320653,106
3000,-94206.91958704505,29291.859375,-64915.06021204505,299.2059884166295,175.99471568999994,0.7395810186320653,106
4000,-93509.55077448401,29662.201171875,-63847.349602609014,302.9888989504875,175.99471568999994,0.7395810186320653,105
5000,-94314.497498422,29274.876953125,-65039.620545297,299.0325189807099,175.99471568999994,0.7395810186320653,105
6000,-93282.81774988685,29532.81640625,-63750.001343636846,301.6672793090276,175.99471568999994,0.7395810186320653,105
7000,-93844.93495646033,29050.966796875,-64793.96815958533,296.74535589011816,175.99471568999994,0.7395810186320653,105
8000,-93854.65741053138,28725.587890625,-65129.06951990638,293.4217253889577,175.99471568999994,0.7395810186320653,105
9000,-94097.67922297034,29185.0234375,-64912.65578547034,298.1146970831272,175.99471568999994,0.7395810186320653,105
10000,-93674.70671930823,28993.19921875,-64681.50750055823,296.1552805012517,175.99471568999994,0.7395810186320653,105
11000,-94117.91819086585,29430.765625,-64687.15256586585,300.6248666549966,175.99471568999994,0.7395810186320653,105
12000,-93678.83956232581,29067.47265625,-64611.36690607581,296.91395740857206,175.99471568999994,0.7395810186320653,106
13000,-93655.76225367103,29380.359375,-64275.402878671026,300.1099846305903,175.99471568999994,0.7395810186320653,106
14000,-93717.22247400794,29236.80078125,-64480.42169275794,298.6435843454882,175.99471568999994,0.7395810186320653,106
15000,-94266.76094141517,29492.66796875,-64774.09297266517,301.2571772130226,175.99471568999994,0.7395810186320653,106
16000,-93491.0706032804,29564.3046875,-63926.7659157804,301.98892097043023,175.99471568999994,0.7395810186320653,106
17000,-94235.73050013099,29254.87109375,-64980.85940638099,298.82816619955696,175.99471568999994,0.7395810186320653,106
18000,-93499.13518610511,30197.18359375,-63301.95159235511,308.4535552658612,175.99471568999994,0.7395810186320653,106
19000,-93419.91877832923,28909.50390625,-64510.41487207923,295.30036247157636,175.99471568999994,0.7395810186320653,106
20000,-93933.70876398597,29647.2421875,-64286.46657648597,302.8360982133158,175.99471568999994,0.7395810186320653,106
21000,-93827.77011957679,29441.6484375,-64386.12168207679,300.73603073745136,175.99471568999994,0.7395810186320653,105
22000,-93731.72081842933,29109.421875,-64622.29894342933,297.34245384844337,175.99471568999994,0.7395810186320653,106
23000,-94009.62276545081,29296.09375,-64713.52901545081,299.2492410603412,175.99471568999994,0.7395810186320653,106
24000,-94373.03529444251,29651.671875,-64721.36341944251,302.8813459051692,175.99471568999994,0.7395810186320653,106
25000,-93560.73981562171,29179.7421875,-64380.99762812171,298.06075098137603,175.99471568999994,0.7395810186320653,106
26000,-93421.28931513343,29813.734375,-63607.55494013343,304.53675705121464,175.99471568999994,0.7395810186320653,106
27000,-94024.15714350257,29367.234375,-64656.92276850257,299.97591739546897,175.99471568999994,0.7395810186320653,106
28000,-93530.21777430091,29273.09375,-64257.12402430091,299.0143041911763,175.99471568999994,0.7395810186320653,106
29000,-93956.15309229407,29460.0078125,-64496.14527979407,300.92356526276984,175.99471568999994,0.7395810186320653,106
30000,-93855.72334375892,29246.26171875,-64609.46162500892,298.74022447747143,175.99471568999994,0.7395810186320653,106
31000,-93607.39993372474,29106.763671875,-64500.63626184974,297.315301243235,175.99471568999994,0.7395810186320653,106
32000,-93672.95256891761,28889.69921875,-64783.25335016761,295.0980645900094,175.99471568999994,0.7395810186320653,106
33000,-93952.06782618079,29170.7421875,-64781.32563868079,297.96881916300714,175.99471568999994,0.7395810186320653,106
34000,-93548.28393641028,29137.884765625,-64410.399170785284,297.6331922141313,175.99471568999994,0.7395810186320653,106
35000,-93939.68200769935,29177.64453125,-64762.037476449346,298.03932416433435,175.99471568999994,0.7395810186320653,106
36000,-93782.44445887122,29243.34375,-64539.10070887122,298.7104184582347,175.99471568999994,0.7395810186320653,106
