#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
101000,-94345.37691584144,29812.80078125,-64532.576134591436,304.52722072109736,175.99471568999994,0.7395810186320653,0
102000,-93761.9803322843,29093.64453125,-64668.33580103431,297.18129385955797,175.99471568999994,0.7395810186320653,106
103000,-94167.07719507728,29182.837890625,-64984.239304452276,298.0923724944218,175.99471568999994,0.7395810186320653,106
104000,-93590.60340204749,29795.671875,-63794.93152704749,304.3522549990715,175.99471568999994,0.7395810186320653,106
105000,-94155.61648645911,29081.71484375,-65073.90164270911,297.05943631906376,175.99471568999994,0.7395810186320653,106
106000,-94037.11352243934,29600.11328125,-64437.00024118934,302.3546930967269,175.99471568999994,0.7395810186320653,106
107000,-94001.38314905677,29052.05859375,-64949.32455530677,296.7565082092302,175.99471568999994,0.7395810186320653,106
108000,-93870.89505091224,28601.328125,-65269.56692591224,292.1524558107356,175.99471568999994,0.7395810186320653,106
109000,-93870.97631922278,29324.38671875,-64546.589600472784,299.5382437341459,175.99471568999994,0.7395810186320653,106
110000,-93427.97470179114,29183.390625,-64244.58407679114,298.09801848066274,175.99471568999994,0.7395810186320653,106
111000,-93427.54696741614,29338.203125,-64089.34384241614,299.67937343968873,175.99471568999994,0.7395810186320653,106
112000,-93741.19900599036,29229.00390625,-64512.19509974036,298.5639420236721,175.99471568999994,0.7395810186320653,106
113000,-93448.75259485755,29482.892578125,-63965.86001673255,301.1573250535312,175.99471568999994,0.7395810186320653,106
114000,-93479.46002283607,29819.44140625,-63660.018616586065,304.59505235791465,175.99471568999994,0.7395810186320653,105
115000,-93642.55080500159,29126.359375,-64516.19143000159,297.5154644232904,175.99471568999994,0.7395810186320653,105
116000,-93579.47592249427,29208.234375,-64371.24154749427,298.35178860428516,175.99471568999994,0.7395810186320653,105
117000,-93168.50417414222,29284.701171875,-63883.80300226722,299.1328699022367,175.99471568999994,0.7395810186320653,105
118000,-93479.5019692472,28559.900390625,-64919.6015786222,291.7292861494026,175.99471568999994,0.7395810186320653,105
119000,-93734.79652872596,29459.2578125,-64275.53871622596,300.9159042779058,175.99471568999994,0.7395810186320653,105
120000,-94190.68087091956,28901.53125,-65289.14962091956,295.2189246064327,175.99471568999994,0.7395810186320653,105
121000,-94259.65832605872,29199.490234375,-65060.16809168372,298.2624702989819,175.99471568999994,0.7395810186320653,105
122000,-93437.5021065763,29611.11328125,-63826.3888253263,302.4670542080667,175.99471568999994,0.7395810186320653,105
123000,-94090.42932215247,29217.38671875,-64873.04260340247,298.4452765602046,175.99471568999994,0.7395810186320653,105
124000,-94248.52636042151,29305.373046875,-64943.153313546514,299.3440257975528,175.99471568999994,0.7395810186320653,105
125000,-94377.57504358802,29078.56640625,-65299.00863733802,297.02727614301983,175.99471568999994,0.7395810186320653,105
126000,-93655.62521448646,29115.4375,-64540.187714486456,297.4039013312073,175.99471568999994,0.7395810186320653,105
127000,-94284.05548182044,29054.5859375,-65229.46954432044,296.7823241321836,175.99471568999994,0.7395810186320653,105
128000,-93565.32720270667,28803.53125,-64761.79595270667,294.21788925086037,175.99471568999994,0.7395810186320653,105
129000,-94036.66935816321,28683.8203125,-65352.84904566321,292.99508434385814,175.99471568999994,0.7395810186320653,105
130000,-94011.45868006263,28808.822265625,-65202.63641443763,294.27193510501866,175.99471568999994,0.7395810186320653,105
131000,-94051.54202356849,28816.90234375,-65234.63967981849,294.3544702466402,175.99471568999994,0.7395810186320653,105
132000,-93476.08573999915,28805.6484375,-64670.43730249915,294.2395155727162,175.99471568999994,0.7395810186320653,105
