# step Q_left_e Q_right_e Q_total_e
1000 -3.0770608850 3.0258606323 -0.0512002527
2000 -3.1316509784 3.0804512487 -0.0511997297
3000 -3.3824645365 3.3312646722 -0.0511998642
4000 -3.3767139910 3.3255140361 -0.0511999548
5000 -3.4906845272 3.4394848181 -0.0511997091
6000 -3.5483605948 3.4971606703 -0.0511999244
7000 -3.6453014958 3.5941016728 -0.0511998230
8000 -3.6414129288 3.5902125480 -0.0512003808
9000 -3.6416145983 3.5904145699 -0.0512000284
10000 -3.8525950785 3.8013950663 -0.0512000122
11000 -3.9236151040 3.8724150319 -0.0512000721
12000 -3.9588028937 3.9076028701 -0.0512000237
13000 -4.0414104521 3.9902102139 -0.0512002382
14000 -3.9163498532 3.8651498005 -0.0512000528
15000 -3.9837821800 3.9325820751 -0.0512001049
16000 -3.9383634745 3.8871631725 -0.0512003020
17000 -4.0164151279 3.9652156607 -0.0511994671
18000 -4.0230725994 3.9718724728 -0.0512001267
19000 -4.0931093599 4.0419091208 -0.0512002392
20000 -4.1080448431 4.0568447733 -0.0512000698
21000 -4.2720539847 4.2208539342 -0.0512000505
22000 -4.2254044924 4.1742045891 -0.0511999033
23000 -4.1091946773 4.0579944645 -0.0512002127
24000 -4.2601786249 4.2089784985 -0.0512001265
25000 -4.1188634146 4.0676634677 -0.0511999470
26000 -4.2342342998 4.1830340745 -0.0512002253
27000 -4.1713783869 4.1201783370 -0.0512000499
28000 -4.2500675487 4.1988678330 -0.0511997157
29000 -4.2694017434 4.2182017051 -0.0512000383
30000 -4.3449219782 4.2937222045 -0.0511997737
31000 -4.3156611026 4.2644609340 -0.0512001687
32000 -4.2494273350 4.1982273913 -0.0511999438
33000 -4.3494196919 4.2982197746 -0.0511999173
34000 -4.2834908816 4.2322910234 -0.0511998583
35000 -4.2752427698 4.2240426903 -0.0512000795
36000 -4.2236228323 4.1724229169 -0.0511999154
37000 -4.2151285729 4.1639283228 -0.0512002501
38000 -4.3289429198 4.2777428233 -0.0512000966
39000 -4.3164555543 4.2652556174 -0.0511999369
40000 -4.4796750516 4.4284749953 -0.0512000563
41000 -4.5328216220 4.4816213997 -0.0512002223
42000 -4.2597381218 4.2085381905 -0.0511999312
43000 -4.5176175986 4.4664174578 -0.0512001408
44000 -4.3646482852 4.3134483751 -0.0511999101
45000 -4.4506293301 4.3994292405 -0.0512000896
46000 -4.5125527813 4.4613528356 -0.0511999457
47000 -4.3101426283 4.2589424402 -0.0512001881
48000 -4.4510599922 4.3998603382 -0.0511996540
49000 -4.4427601104 4.3915602228 -0.0511998876
