#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-95368.06120826576,27157.07421875,-68210.98698951576,277.39991272318673,175.52540195999998,0.7415584847003126,0
2000,-93782.01427986,28707.001953125,-65075.012326735,293.23187660779485,175.52540195999998,0.7415584847003126,100
3000,-93923.64079810951,29254.2734375,-64669.36736060951,298.82206135224345,175.52540195999998,0.7415584847003126,102
4000,-93096.81612922523,29013.00390625,-64083.81222297523,296.3575783828187,175.52540195999998,0.7415584847003126,102
5000,-93085.06364204262,29160.39453125,-63924.669110792616,297.8631215124606,175.52540195999998,0.7415584847003126,102
6000,-93834.86906959389,29049.625,-64785.244069593886,296.73164990938477,175.52540195999998,0.7415584847003126,102
7000,-93418.33488227699,29127.037109375,-64291.29777290199,297.5223872403421,175.52540195999998,0.7415584847003126,102
8000,-93492.28652717445,29556.91796875,-63935.36855842445,301.9134682497117,175.52540195999998,0.7415584847003126,102
9000,-93290.51615669105,29396.4375,-63894.078656691054,300.2742169936139,175.52540195999998,0.7415584847003126,102
10000,-93131.53629829262,29672.498046875,-63459.038251417616,303.0940778885172,175.52540195999998,0.7415584847003126,102
11000,-93427.75330879066,29467.6953125,-63960.05799629066,301.00209035762657,175.52540195999998,0.7415584847003126,102
12000,-93292.01661445473,29652.236328125,-63639.780286329726,302.8871115942987,175.52540195999998,0.7415584847003126,102
13000,-93311.50112296913,29571.677734375,-63739.82338859413,302.0642340377789,175.52540195999998,0.7415584847003126,102
14000,-93720.23449470375,28712.1015625,-65008.13293220375,293.2839673147743,175.52540195999998,0.7415584847003126,102
15000,-93637.78654243324,29585.83984375,-64051.94669868324,302.2088949785325,175.52540195999998,0.7415584847003126,102
16000,-93942.58355476234,29591.94921875,-64350.63433601234,302.27130008440446,175.52540195999998,0.7415584847003126,102
17000,-93301.06513740394,28821.43359375,-64479.631543653944,294.40075536352725,175.52540195999998,0.7415584847003126,102
18000,-93632.46702339027,29202.646484375,-64429.82053901527,298.29471027695155,175.52540195999998,0.7415584847003126,102
