#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-85673.32586262719,25804.90234375,-59868.423518877185,263.5879550325172,259.76076997760543,0.5010854838284182,0
2000,-82985.63567923254,29267.97265625,-53717.66302298254,298.9619940289013,255.12717666599994,0.5101861463950313,771
3000,-84009.3674889591,28809.4921875,-55199.875301459106,294.27877812014464,242.7975071294371,0.536094264899023,791
4000,-85088.61765120839,29188.62890625,-55899.98874495839,298.15152567182275,236.37167096652527,0.5506681514397905,783
5000,-86090.72265765665,28981.25390625,-57109.468751406646,296.03326335690616,229.7981777463734,0.5664202927123736,783
6000,-86588.5596911347,29655.134765625,-56933.424925509695,302.9167181087213,225.52388415565443,0.5771555043546255,793
7000,-86507.9831015084,29319.228515625,-57188.754585883406,299.485554512724,222.02602173881928,0.5862481797606031,798
8000,-87802.62617854602,29347.458984375,-58455.16719417102,299.77391877112325,217.5612042977168,0.5982792360615593,807
9000,-87342.78127951286,28984.076171875,-58358.705107637856,296.06209180255354,216.86837775722563,0.6001905508307059,806
10000,-87527.44783312888,29372.99609375,-58154.451739378885,300.0347713156487,215.48851554185924,0.6040338195126992,805
11000,-88196.20078729783,29051.4921875,-59144.70859979783,296.7507225696193,212.30637313266467,0.6130873472297313,799
12000,-87357.36872506191,29121.6640625,-58235.70466256191,297.4675034659643,209.15117534062534,0.6223362163367593,796
13000,-88101.11144804448,29053.7265625,-59047.38488554448,296.7735459203602,204.81194662842285,0.635521283043201,794
14000,-88622.6625119326,28942.07421875,-59680.588293182605,295.63305669968395,201.31469898909646,0.6465615862005222,790
15000,-88266.96489123377,29353.333984375,-58913.63090685877,299.8339298192252,198.8439185676477,0.6545955845241954,788
16000,-89134.21866116146,29812.73828125,-59321.48037991146,304.52658230569205,196.3806484405415,0.662806402451005,786
17000,-89756.9988699999,29515.658203125,-60241.340666874894,301.49201432978043,194.34607671935214,0.6697451952777694,784
18000,-90271.43614353304,28968.9375,-61302.498643533036,295.90745562109146,192.20810934673625,0.6771948985204513,781
19000,-90041.00093870508,29033.0703125,-61007.93062620508,296.5625496288955,189.9196747214739,0.6853547495527256,780
20000,-90069.92260727216,29078.08984375,-60991.832763522165,297.0224082255541,188.4631197348151,0.6906515783407451,776
21000,-90617.4426959019,29005.40234375,-61612.040352151904,296.27993110914423,186.70626559362822,0.697150418011001,774
22000,-90898.02994409934,29100.33984375,-61797.69010034934,297.24968410985497,184.9181888111385,0.7038915530197459,774
23000,-90741.47052775294,28713.421875,-62028.04865275294,293.29745384021203,185.00195140307824,0.703572854862898,775
24000,-90581.69585054144,29429.20703125,-61152.48881929144,300.60894617082596,184.47628313150867,0.7055776975465258,777
25000,-91057.00100190812,29716.984375,-61340.016626908124,303.548490003749,183.3866840954162,0.7097699145710457,780
26000,-90681.05249166171,29236.248046875,-61444.804444786714,298.63793835924724,182.36744800976598,0.7137367579816138,782
27000,-90819.54443257555,29616.03515625,-61203.50927632555,302.51732942123715,182.25841636051345,0.7141637335770834,783
28000,-91670.61903256681,29018.4140625,-62652.204970066814,296.4128412163434,181.55186758122454,0.7169430578599667,786
29000,-91217.00908830555,28474.142578125,-62742.86651018055,290.8533004113511,181.70953087366775,0.7163209903082373,787
30000,-91144.04125864865,29069.654296875,-62074.38696177365,296.9362420963147,180.9887163943095,0.7191738451821151,789
31000,-91430.30857263284,29009.82421875,-62420.48435388284,296.325098999072,181.00821346386493,0.7190963802858342,791
32000,-91239.90252193494,28962.69140625,-62277.21111568494,295.84365398152033,182.06286350525932,0.7149308134446145,791
33000,-91474.21184664225,29515.2109375,-61959.000909142254,301.487445669536,181.08896099644056,0.7187757353493752,792
34000,-91687.38710192678,29562.513671875,-62124.87343005178,301.9706263789709,180.06828359893024,0.7228499572627911,794
35000,-90861.93856876346,29074.072265625,-61787.866303138464,296.98137008527965,180.5599332513102,0.7208816970634673,794
36000,-91600.51006752951,28973.2109375,-62627.29913002951,295.95110727443154,180.20430550223216,0.7223043352993503,795
37000,-91707.35690585367,29527.9375,-62179.41940585367,301.6174430064483,179.1324324304237,0.7266263810403335,795
38000,-91958.23979995641,28904.79296875,-63053.44683120641,295.2522419103989,177.8925788076927,0.7316907314305694,796
39000,-92106.32225016647,29211.8359375,-62894.48631266647,298.3885772920179,179.76800929920634,0.7240573648853637,795
40000,-92196.4183870033,29040.197265625,-63156.2211213783,296.63534893558557,178.55387372245863,0.7289808302125846,795
41000,-91788.80548185998,29537.171875,-62251.63360685998,301.71176888258714,179.6373745996751,0.7245839090776063,794
42000,-92018.7243339023,29369.880859375,-62648.8434745273,300.00295029778886,179.62664217170868,0.7246272019016315,794
43000,-91905.28838072805,28863.833984375,-63041.454396353045,294.8338603646059,179.90767997531592,0.7234952455711157,793
44000,-91827.75905661107,28923.87890625,-62903.880150361074,295.4471980148045,178.92949210986978,0.7274505145521011,794
45000,-91834.52609988215,29353.69921875,-62480.82688113215,299.83766055925014,180.12275749869116,0.7226313482615693,794
46000,-92067.5421180324,29476.224609375,-62591.317508657405,301.089214109974,178.74855558556416,0.7281868694125708,793
47000,-92134.71666641813,29279.9140625,-62854.80260391813,299.083971272284,178.06463150569783,0.7309837445158549,792
48000,-92161.10639806761,29533.16796875,-62627.93842931761,301.67087039568264,178.0828529799478,0.7309089501083365,791
49000,-91968.17779685115,29134.236328125,-62833.941468726145,297.59592471484456,178.94321459916705,0.7273947290789128,792
50000,-91740.63464208713,29340.4140625,-62400.22057958713,299.70195738465264,178.77853325601603,0.7280647666880374,793
51000,-91712.08358785315,29621.61328125,-62090.47030660315,302.5743079961637,179.36406478563094,0.7256880092421852,794
52000,-92075.82126041705,29388.88671875,-62686.934541667055,300.19708843245627,179.20751514804599,0.7263219457975398,793
53000,-91153.59677721836,29072.640625,-62080.956152218365,296.9667463824011,179.07193279086493,0.7268718725222297,793
54000,-92568.24237468126,28845.5859375,-63722.65643718126,294.6474630167282,178.915087664429,0.7275090815594145,792
55000,-91471.55259940069,29180.23046875,-62291.32213065069,298.06573860173023,179.4910379387688,0.7251746527215146,792
56000,-91442.02894252646,29151.826171875,-62290.202770651464,297.77559875048485,179.27373813104109,0.7260536454521187,792
57000,-91198.54034782926,29172.19140625,-62026.34894157926,297.98362242021847,180.0115767060082,0.7230776680349273,791
58000,-92193.90414854349,29224.5703125,-62969.33383604349,298.5186544308558,179.92366532972068,0.7234309664898207,792
59000,-92326.75276624536,28971.6953125,-63355.057453745365,295.93562570085203,178.6565571616464,0.7285618461017442,793
60000,-92016.30255053769,29085.078125,-62931.224425537686,297.0937910480637,178.49936154366202,0.729203454725144,793
61000,-91696.66961166397,29073.0234375,-62623.646174163965,296.9706566767588,178.09795811329343,0.73084695907109,793
62000,-92326.89275932501,29140.2265625,-63186.66619682501,297.6571128413501,177.60940764678276,0.7328573009078928,794
63000,-92299.63110421936,29443.37890625,-62856.252197969356,300.75370686398674,177.68334089910852,0.7325523622261197,795
64000,-91922.10801015471,29290.404296875,-62631.70371327971,299.19112530797395,178.01552219478586,0.7311854016946135,795
65000,-92629.28247964857,29245.0078125,-63384.274667148566,298.72741626840184,177.0493842581916,0.7351753955498358,796
