z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
0.083696,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.251087,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.418479,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.585871,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.753262,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.920654,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.088046,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.255437,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.422829,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.590221,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.757612,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.925004,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.092396,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.259787,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.427179,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.594571,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.761962,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.929354,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.8995221716e-03
3.096746,0.0000000000e+00,0.0000000000e+00,3.1598088686e-02,1.3429187692e-01
3.264137,0.0000000000e+00,7.8995221716e-03,2.6858375384e-01,1.5957034787e+00
3.431529,0.0000000000e+00,3.9497610858e-02,1.2560240253e+00,7.3307565753e+00
3.598920,0.0000000000e+00,9.2424409408e-01,3.5784835437e+00,1.3642474790e+01
3.766312,0.0000000000e+00,5.8377468848e+00,6.7540914567e+00,1.4590417451e+01
3.933704,0.0000000000e+00,1.0308876434e+01,1.0632756843e+01,1.1596498548e+01
4.101095,7.8995221716e-03,8.8474648322e+00,1.2015173223e+01,8.8395653100e+00
4.268487,1.1059331040e-01,5.1188903672e+00,1.0158785513e+01,5.1978855889e+00
4.435879,3.1598088686e-01,2.4409523510e+00,6.9910771219e+00,2.9544212922e+00
4.603270,7.5835412848e-01,1.0743350153e+00,5.4348712541e+00,1.6352010895e+00
4.770662,1.0348374045e+00,4.2657419727e-01,3.7443735093e+00,1.0980335819e+00
4.938054,8.5314839453e-01,3.2388040904e-01,2.9307227257e+00,1.0822345375e+00
5.105445,5.9246416287e-01,1.6588996560e-01,2.6463399275e+00,9.1634457191e-01
5.272837,3.6337801989e-01,9.4794266059e-02,2.2513638189e+00,9.7954074928e-01
5.440229,2.1328709863e-01,1.1849283257e-01,1.8010910551e+00,1.0111388380e+00
5.607620,2.2118662081e-01,1.1059331040e-01,1.7141963112e+00,1.2639235475e+00
5.775012,5.0556941898e-01,6.3196177373e-02,1.4377130352e+00,1.2639235475e+00
