z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
0.083696,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.251087,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.418479,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.585871,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.753262,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.920654,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.088046,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.255437,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.422829,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.590221,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.757612,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.925004,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.092396,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.259787,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.427179,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.594571,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.761962,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.929354,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.096746,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9748805429e-01
3.264137,0.0000000000e+00,0.0000000000e+00,9.8744027145e-01,1.9748805429e+00
3.431529,0.0000000000e+00,0.0000000000e+00,3.3572969229e+00,1.0664354932e+01
3.598920,0.0000000000e+00,0.0000000000e+00,3.9497610858e+00,1.4811604072e+01
3.766312,0.0000000000e+00,0.0000000000e+00,6.3196177373e+00,1.5996532398e+01
3.933704,0.0000000000e+00,3.9497610858e-01,6.1221296830e+00,9.8744027145e+00
4.101095,0.0000000000e+00,0.0000000000e+00,7.5045460630e+00,8.0970102259e+00
4.268487,0.0000000000e+00,1.9748805429e-01,6.3196177373e+00,4.7397133030e+00
4.435879,0.0000000000e+00,1.9748805429e-01,5.5296655201e+00,4.5422252487e+00
4.603270,0.0000000000e+00,7.8995221716e-01,3.5547849772e+00,2.3698566515e+00
4.770662,0.0000000000e+00,9.8744027145e-01,2.9623208144e+00,3.9497610858e+00
4.938054,0.0000000000e+00,0.0000000000e+00,3.3572969229e+00,4.1472491401e+00
5.105445,0.0000000000e+00,7.8995221716e-01,1.5799044343e+00,5.3321774658e+00
5.272837,3.9497610858e-01,1.9748805429e-01,1.3824163800e+00,5.3321774658e+00
5.440229,3.9497610858e-01,1.9748805429e-01,1.7773924886e+00,5.5296655201e+00
5.607620,5.9246416287e-01,5.9246416287e-01,7.8995221716e-01,4.3447371944e+00
5.775012,7.8995221716e-01,0.0000000000e+00,5.9246416287e-01,3.5547849772e+00
