z_angstrom,number_density_per_A3,number_density_per_nm3
0.389613,0.0000000000e+00,0.0000000000e+00
1.168838,0.0000000000e+00,0.0000000000e+00
1.948063,0.0000000000e+00,0.0000000000e+00
2.727288,0.0000000000e+00,0.0000000000e+00
3.506513,0.0000000000e+00,0.0000000000e+00
4.285738,0.0000000000e+00,0.0000000000e+00
5.064963,0.0000000000e+00,0.0000000000e+00
5.844188,0.0000000000e+00,0.0000000000e+00
6.623413,0.0000000000e+00,0.0000000000e+00
7.402638,0.0000000000e+00,0.0000000000e+00
8.181863,0.0000000000e+00,0.0000000000e+00
8.961088,0.0000000000e+00,0.0000000000e+00
9.740313,0.0000000000e+00,0.0000000000e+00
10.519538,0.0000000000e+00,0.0000000000e+00
11.298763,0.0000000000e+00,0.0000000000e+00
12.077988,0.0000000000e+00,0.0000000000e+00
12.857213,0.0000000000e+00,0.0000000000e+00
13.636438,0.0000000000e+00,0.0000000000e+00
14.415663,0.0000000000e+00,0.0000000000e+00
15.194888,0.0000000000e+00,0.0000000000e+00
15.974113,0.0000000000e+00,0.0000000000e+00
16.753338,0.0000000000e+00,0.0000000000e+00
17.532563,0.0000000000e+00,0.0000000000e+00
18.311788,0.0000000000e+00,0.0000000000e+00
19.091013,0.0000000000e+00,0.0000000000e+00
19.870238,0.0000000000e+00,0.0000000000e+00
20.649463,0.0000000000e+00,0.0000000000e+00
21.428688,0.0000000000e+00,0.0000000000e+00
22.207913,0.0000000000e+00,0.0000000000e+00
22.987138,0.0000000000e+00,0.0000000000e+00
23.766363,0.0000000000e+00,0.0000000000e+00
24.545588,0.0000000000e+00,0.0000000000e+00
25.324814,0.0000000000e+00,0.0000000000e+00
26.104039,0.0000000000e+00,0.0000000000e+00
26.883264,0.0000000000e+00,0.0000000000e+00
27.662489,0.0000000000e+00,0.0000000000e+00
28.441714,0.0000000000e+00,0.0000000000e+00
29.220939,0.0000000000e+00,0.0000000000e+00
30.000164,0.0000000000e+00,0.0000000000e+00
30.779389,0.0000000000e+00,0.0000000000e+00
31.558614,0.0000000000e+00,0.0000000000e+00
32.337839,0.0000000000e+00,0.0000000000e+00
33.117064,0.0000000000e+00,0.0000000000e+00
33.896289,0.0000000000e+00,0.0000000000e+00
34.675514,0.0000000000e+00,0.0000000000e+00
35.454739,0.0000000000e+00,0.0000000000e+00
36.233964,0.0000000000e+00,0.0000000000e+00
37.013189,0.0000000000e+00,0.0000000000e+00
37.792414,0.0000000000e+00,0.0000000000e+00
38.571639,0.0000000000e+00,0.0000000000e+00
39.350864,0.0000000000e+00,0.0000000000e+00
40.130089,0.0000000000e+00,0.0000000000e+00
40.909314,0.0000000000e+00,0.0000000000e+00
41.688539,0.0000000000e+00,0.0000000000e+00
42.467764,0.0000000000e+00,0.0000000000e+00
43.246989,0.0000000000e+00,0.0000000000e+00
44.026214,0.0000000000e+00,0.0000000000e+00
44.805439,0.0000000000e+00,0.0000000000e+00
45.584664,0.0000000000e+00,0.0000000000e+00
46.363889,0.0000000000e+00,0.0000000000e+00
47.143114,0.0000000000e+00,0.0000000000e+00
47.922339,0.0000000000e+00,0.0000000000e+00
48.701564,0.0000000000e+00,0.0000000000e+00
49.480790,0.0000000000e+00,0.0000000000e+00
50.260015,0.0000000000e+00,0.0000000000e+00
51.039240,0.0000000000e+00,0.0000000000e+00
51.818465,0.0000000000e+00,0.0000000000e+00
52.597690,0.0000000000e+00,0.0000000000e+00
53.376915,0.0000000000e+00,0.0000000000e+00
54.156140,0.0000000000e+00,0.0000000000e+00
54.935365,0.0000000000e+00,0.0000000000e+00
55.714590,0.0000000000e+00,0.0000000000e+00
56.493815,0.0000000000e+00,0.0000000000e+00
57.273040,0.0000000000e+00,0.0000000000e+00
58.052265,0.0000000000e+00,0.0000000000e+00
58.831490,0.0000000000e+00,0.0000000000e+00
59.610715,0.0000000000e+00,0.0000000000e+00
60.389940,0.0000000000e+00,0.0000000000e+00
61.169165,0.0000000000e+00,0.0000000000e+00
61.948390,0.0000000000e+00,0.0000000000e+00
62.727615,0.0000000000e+00,0.0000000000e+00
63.506840,0.0000000000e+00,0.0000000000e+00
64.286065,0.0000000000e+00,0.0000000000e+00
65.065290,0.0000000000e+00,0.0000000000e+00
65.844515,0.0000000000e+00,0.0000000000e+00
66.623740,0.0000000000e+00,0.0000000000e+00
67.402965,0.0000000000e+00,0.0000000000e+00
68.182190,0.0000000000e+00,0.0000000000e+00
68.961415,0.0000000000e+00,0.0000000000e+00
69.740640,0.0000000000e+00,0.0000000000e+00
70.519865,0.0000000000e+00,0.0000000000e+00
71.299090,0.0000000000e+00,0.0000000000e+00
72.078315,0.0000000000e+00,0.0000000000e+00
72.857540,0.0000000000e+00,0.0000000000e+00
73.636765,0.0000000000e+00,0.0000000000e+00
74.415991,0.0000000000e+00,0.0000000000e+00
75.195216,3.3939208729e-04,3.3939208729e-01
75.974441,3.6399801361e-02,3.6399801361e+01
76.753666,1.2222357543e-01,1.2222357543e+02
77.532891,1.0911455606e-01,1.0911455606e+02
78.312116,8.2345005178e-02,8.2345005178e+01
79.091341,6.0199671482e-02,6.0199671482e+01
79.870566,7.4072323050e-02,7.4072323050e+01
80.649791,1.0092672196e-01,1.0092672196e+02
81.429016,9.4860088396e-02,9.4860088396e+01
82.208241,8.4593477756e-02,8.4593477756e+01
82.987466,7.8866236283e-02,7.8866236283e+01
83.766691,8.2429853199e-02,8.2429853199e+01
84.545916,8.9641935054e-02,8.9641935054e+01
