z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
0.123697,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.371091,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.618486,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.865880,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.113274,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.360669,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.608063,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.855457,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.102852,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.350246,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.597640,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.845035,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.092429,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.339823,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.587218,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.834612,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.082006,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.329401,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.576795,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.824189,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.071584,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.318978,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.566372,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.813767,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.061161,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.308555,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.555950,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.803344,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.050738,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.298133,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.545527,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.792921,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.040316,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.287710,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.535104,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.782499,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.029893,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.277287,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.524682,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.772076,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10.019470,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10.266865,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10.514259,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10.761653,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11.009048,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11.256442,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
