z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
0.563545,0.0000000000e+00,0.0000000000e+00,9.0195017896e-07,0.0000000000e+00
1.690636,0.0000000000e+00,0.0000000000e+00,3.3498069106e-07,0.0000000000e+00
2.817726,0.0000000000e+00,0.0000000000e+00,4.7268295852e-07,0.0000000000e+00
3.944817,0.0000000000e+00,0.0000000000e+00,1.7849699332e-06,0.0000000000e+00
5.071907,0.0000000000e+00,0.0000000000e+00,1.0272938966e-06,0.0000000000e+00
6.198997,0.0000000000e+00,0.0000000000e+00,3.4557733776e-07,0.0000000000e+00
7.326088,0.0000000000e+00,0.0000000000e+00,1.6600292802e-07,0.0000000000e+00
8.453178,0.0000000000e+00,0.0000000000e+00,7.7745703995e-07,0.0000000000e+00
9.580269,0.0000000000e+00,0.0000000000e+00,5.1174171920e-07,0.0000000000e+00
10.707359,0.0000000000e+00,0.0000000000e+00,1.7307768181e-07,0.0000000000e+00
11.834450,0.0000000000e+00,0.0000000000e+00,1.9940261543e-07,0.0000000000e+00
12.961540,0.0000000000e+00,0.0000000000e+00,6.3274269864e-07,0.0000000000e+00
14.088631,0.0000000000e+00,0.0000000000e+00,5.0723584613e-07,0.0000000000e+00
15.215721,0.0000000000e+00,0.0000000000e+00,2.0428437289e-07,0.0000000000e+00
16.342812,0.0000000000e+00,0.0000000000e+00,1.4076522084e-07,0.0000000000e+00
17.469902,0.0000000000e+00,0.0000000000e+00,3.1063358110e-07,0.0000000000e+00
18.596992,0.0000000000e+00,0.0000000000e+00,3.0790673361e-07,0.0000000000e+00
19.724083,0.0000000000e+00,0.0000000000e+00,1.7922678386e-07,0.0000000000e+00
20.851173,0.0000000000e+00,0.0000000000e+00,3.0361478288e-08,0.0000000000e+00
21.978264,0.0000000000e+00,0.0000000000e+00,8.9506316513e-08,0.0000000000e+00
23.105354,0.0000000000e+00,0.0000000000e+00,8.9716693798e-08,0.0000000000e+00
24.232445,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
25.359535,0.0000000000e+00,0.0000000000e+00,9.0631978877e-08,0.0000000000e+00
26.486626,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
27.613716,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
28.740807,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
29.867897,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
30.994987,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
32.122078,0.0000000000e+00,0.0000000000e+00,9.1545128438e-08,0.0000000000e+00
33.249168,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
34.376259,0.0000000000e+00,0.0000000000e+00,1.0519542600e-07,0.0000000000e+00
35.503349,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
36.630440,0.0000000000e+00,0.0000000000e+00,9.2305248392e-08,0.0000000000e+00
37.757530,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.884621,0.0000000000e+00,0.0000000000e+00,9.3214844531e-08,0.0000000000e+00
40.011711,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
41.138802,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
42.265892,0.0000000000e+00,0.0000000000e+00,1.0368312175e-07,0.0000000000e+00
43.392982,0.0000000000e+00,0.0000000000e+00,1.9823268687e-07,0.0000000000e+00
44.520073,0.0000000000e+00,0.0000000000e+00,9.3806856748e-08,0.0000000000e+00
45.647163,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
46.774254,0.0000000000e+00,0.0000000000e+00,2.9772780719e-07,0.0000000000e+00
47.901344,0.0000000000e+00,0.0000000000e+00,9.4321735019e-08,0.0000000000e+00
49.028435,0.0000000000e+00,0.0000000000e+00,9.5779420700e-08,0.0000000000e+00
50.155525,0.0000000000e+00,0.0000000000e+00,2.3760495771e-07,0.0000000000e+00
51.282616,0.0000000000e+00,0.0000000000e+00,3.1216123628e-07,0.0000000000e+00
52.409706,0.0000000000e+00,0.0000000000e+00,3.2033200549e-07,0.0000000000e+00
53.536797,0.0000000000e+00,0.0000000000e+00,1.1022121096e-07,0.0000000000e+00
54.663887,0.0000000000e+00,0.0000000000e+00,9.8814622189e-08,0.0000000000e+00
55.790977,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
56.918068,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
58.045158,0.0000000000e+00,0.0000000000e+00,1.0056420336e-07,0.0000000000e+00
59.172249,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
60.299339,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
61.426430,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
62.553520,0.0000000000e+00,0.0000000000e+00,2.8845863348e-07,3.6406844709e-07
63.680611,0.0000000000e+00,0.0000000000e+00,2.5880051131e-06,0.0000000000e+00
64.807701,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
65.934792,0.0000000000e+00,0.0000000000e+00,7.7748498588e-07,3.3226046677e-07
67.061882,0.0000000000e+00,0.0000000000e+00,1.3925629802e-07,0.0000000000e+00
68.188972,0.0000000000e+00,0.0000000000e+00,2.9213067494e-07,0.0000000000e+00
69.316063,0.0000000000e+00,0.0000000000e+00,1.5870357657e-06,0.0000000000e+00
70.443153,0.0000000000e+00,0.0000000000e+00,6.8624586382e-07,5.5412863535e-07
71.570244,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.4663217709e-07
72.697334,0.0000000000e+00,0.0000000000e+00,7.7882313392e-07,0.0000000000e+00
73.824425,0.0000000000e+00,0.0000000000e+00,1.8796210780e-07,4.9812611476e-07
74.951515,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0216752800e-07
76.078606,0.0000000000e+00,0.0000000000e+00,1.1451145590e-06,1.0056420336e-07
77.205696,0.0000000000e+00,0.0000000000e+00,1.2889340821e-07,1.0248282274e-07
78.332787,0.0000000000e+00,0.0000000000e+00,2.0613663418e-07,3.0564007763e-07
79.459877,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1689152035e-06
