Epot = -1.3564eV  Ekin = 0.0378eV (T=293K)  Etot = -1.3185eV  Density = 0.8828 g/cm³
Epot = -1.3547eV  Ekin = 0.0371eV (T=287K)  Etot = -1.3176eV  Density = 0.8875 g/cm³
Epot = -1.3532eV  Ekin = 0.0363eV (T=281K)  Etot = -1.3169eV  Density = 0.8911 g/cm³
Epot = -1.3543eV  Ekin = 0.0378eV (T=293K)  Etot = -1.3165eV  Density = 0.8930 g/cm³
Epot = -1.3560eV  Ekin = 0.0398eV (T=308K)  Etot = -1.3162eV  Density = 0.8949 g/cm³
Epot = -1.3545eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3162eV  Density = 0.8962 g/cm³
Epot = -1.3542eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3159eV  Density = 0.8966 g/cm³
Epot = -1.3531eV  Ekin = 0.0373eV (T=289K)  Etot = -1.3157eV  Density = 0.8993 g/cm³
Epot = -1.3546eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3157eV  Density = 0.9003 g/cm³
Epot = -1.3541eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3155eV  Density = 0.9009 g/cm³
Epot = -1.3541eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3153eV  Density = 0.9021 g/cm³
Epot = -1.3543eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3156eV  Density = 0.9031 g/cm³
Epot = -1.3551eV  Ekin = 0.0396eV (T=307K)  Etot = -1.3154eV  Density = 0.9031 g/cm³
Epot = -1.3545eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3155eV  Density = 0.9041 g/cm³
Epot = -1.3536eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3155eV  Density = 0.9039 g/cm³
Epot = -1.3541eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3158eV  Density = 0.9037 g/cm³
Epot = -1.3534eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3156eV  Density = 0.9041 g/cm³
Epot = -1.3535eV  Ekin = 0.0378eV (T=293K)  Etot = -1.3157eV  Density = 0.9038 g/cm³
Epot = -1.3544eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3157eV  Density = 0.9046 g/cm³
Epot = -1.3547eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3159eV  Density = 0.9058 g/cm³
Epot = -1.3546eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3161eV  Density = 0.9058 g/cm³
Epot = -1.3557eV  Ekin = 0.0396eV (T=307K)  Etot = -1.3161eV  Density = 0.9064 g/cm³
Epot = -1.3549eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3163eV  Density = 0.9051 g/cm³
Epot = -1.3550eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3162eV  Density = 0.9049 g/cm³
Epot = -1.3545eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3161eV  Density = 0.9057 g/cm³
Epot = -1.3555eV  Ekin = 0.0394eV (T=305K)  Etot = -1.3161eV  Density = 0.9065 g/cm³
Epot = -1.3540eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3160eV  Density = 0.9062 g/cm³
Epot = -1.3555eV  Ekin = 0.0394eV (T=305K)  Etot = -1.3161eV  Density = 0.9068 g/cm³
Epot = -1.3551eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3164eV  Density = 0.9082 g/cm³
Epot = -1.3546eV  Ekin = 0.0383eV (T=297K)  Etot = -1.3162eV  Density = 0.9076 g/cm³
Epot = -1.3551eV  Ekin = 0.0391eV (T=303K)  Etot = -1.3160eV  Density = 0.9076 g/cm³
Epot = -1.3547eV  Ekin = 0.0390eV (T=302K)  Etot = -1.3158eV  Density = 0.9059 g/cm³
Epot = -1.3540eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3157eV  Density = 0.9049 g/cm³
Epot = -1.3536eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3157eV  Density = 0.9040 g/cm³
Epot = -1.3550eV  Ekin = 0.0390eV (T=302K)  Etot = -1.3159eV  Density = 0.9054 g/cm³
Epot = -1.3546eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3159eV  Density = 0.9054 g/cm³
Epot = -1.3552eV  Ekin = 0.0391eV (T=303K)  Etot = -1.3161eV  Density = 0.9063 g/cm³
Epot = -1.3551eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3162eV  Density = 0.9072 g/cm³
Epot = -1.3542eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3162eV  Density = 0.9086 g/cm³
Epot = -1.3548eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3159eV  Density = 0.9093 g/cm³
Epot = -1.3543eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3159eV  Density = 0.9105 g/cm³
Epot = -1.3540eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3158eV  Density = 0.9107 g/cm³
Epot = -1.3541eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3158eV  Density = 0.9117 g/cm³
Epot = -1.3541eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3158eV  Density = 0.9116 g/cm³
Epot = -1.3536eV  Ekin = 0.0377eV (T=291K)  Etot = -1.3159eV  Density = 0.9131 g/cm³
Epot = -1.3549eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3161eV  Density = 0.9138 g/cm³
Epot = -1.3551eV  Ekin = 0.0388eV (T=300K)  Etot = -1.3163eV  Density = 0.9154 g/cm³
Epot = -1.3556eV  Ekin = 0.0394eV (T=305K)  Etot = -1.3162eV  Density = 0.9165 g/cm³
Epot = -1.3549eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3163eV  Density = 0.9173 g/cm³
Epot = -1.3545eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3163eV  Density = 0.9177 g/cm³
Epot = -1.3539eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3162eV  Density = 0.9171 g/cm³
Epot = -1.3553eV  Ekin = 0.0390eV (T=302K)  Etot = -1.3163eV  Density = 0.9174 g/cm³
Epot = -1.3549eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3163eV  Density = 0.9178 g/cm³
Epot = -1.3547eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3164eV  Density = 0.9183 g/cm³
Epot = -1.3547eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3165eV  Density = 0.9173 g/cm³
Epot = -1.3540eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3163eV  Density = 0.9156 g/cm³
Epot = -1.3545eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3162eV  Density = 0.9155 g/cm³
Epot = -1.3543eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3161eV  Density = 0.9150 g/cm³
Epot = -1.3546eV  Ekin = 0.0386eV (T=298K)  Etot = -1.3161eV  Density = 0.9160 g/cm³
Epot = -1.3540eV  Ekin = 0.0379eV (T=293K)  Etot = -1.3161eV  Density = 0.9178 g/cm³
Epot = -1.3538eV  Ekin = 0.0378eV (T=293K)  Etot = -1.3160eV  Density = 0.9176 g/cm³
Epot = -1.3552eV  Ekin = 0.0392eV (T=303K)  Etot = -1.3160eV  Density = 0.9171 g/cm³
Epot = -1.3550eV  Ekin = 0.0390eV (T=302K)  Etot = -1.3161eV  Density = 0.9183 g/cm³
Epot = -1.3553eV  Ekin = 0.0391eV (T=302K)  Etot = -1.3162eV  Density = 0.9194 g/cm³
Epot = -1.3539eV  Ekin = 0.0377eV (T=292K)  Etot = -1.3162eV  Density = 0.9204 g/cm³
Epot = -1.3544eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3159eV  Density = 0.9190 g/cm³
Epot = -1.3544eV  Ekin = 0.0381eV (T=295K)  Etot = -1.3163eV  Density = 0.9196 g/cm³
Epot = -1.3558eV  Ekin = 0.0395eV (T=306K)  Etot = -1.3163eV  Density = 0.9193 g/cm³
Epot = -1.3551eV  Ekin = 0.0386eV (T=299K)  Etot = -1.3165eV  Density = 0.9194 g/cm³
Epot = -1.3552eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3166eV  Density = 0.9203 g/cm³
Epot = -1.3555eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3171eV  Density = 0.9216 g/cm³
Epot = -1.3539eV  Ekin = 0.0372eV (T=288K)  Etot = -1.3167eV  Density = 0.9212 g/cm³
Epot = -1.3553eV  Ekin = 0.0387eV (T=300K)  Etot = -1.3165eV  Density = 0.9218 g/cm³
Epot = -1.3559eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3169eV  Density = 0.9217 g/cm³
Epot = -1.3546eV  Ekin = 0.0378eV (T=292K)  Etot = -1.3168eV  Density = 0.9214 g/cm³
Epot = -1.3549eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3166eV  Density = 0.9203 g/cm³
Epot = -1.3552eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3167eV  Density = 0.9199 g/cm³
Epot = -1.3550eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3168eV  Density = 0.9201 g/cm³
Epot = -1.3557eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3168eV  Density = 0.9186 g/cm³
Epot = -1.3557eV  Ekin = 0.0387eV (T=300K)  Etot = -1.3169eV  Density = 0.9188 g/cm³
