#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
500,11070372712.935194,66.22065399440766,11070372779.155848,265.4838002792304
1000,11070372729.805735,55.41062551178667,11070372785.21636,222.14554748977133
1500,11070372703.437618,75.64188266007348,11070372779.0795,303.25424557975265
2000,11070372715.798252,88.02634910243292,11070372803.824602,352.9045437454254
2500,11070372710.114048,70.3787143956301,11070372780.492762,282.15379084139465
3000,11070372698.623236,81.50461069156636,11070372780.127846,326.7583824905078
3500,11070372704.220707,64.48909099101942,11070372768.709799,258.5418282684852
4000,11070372696.811436,70.12703335768254,11070372766.938469,281.1447818029429
4500,11070372705.676247,59.69114033228447,11070372765.367388,239.30646743165676
5000,11070372703.618225,82.41998868844303,11070372786.038214,330.42820473846285
5500,11070372717.165455,113.4230916349451,11070372830.588547,454.72207823872554
6000,11070372709.05244,96.9867170010996,11070372806.039158,388.8273620528215
6500,11070372696.071617,73.10263545342232,11070372769.174253,293.07420419376604
7000,11070372688.820757,83.90253552250226,11070372772.723293,336.37185137824423
7500,11070372701.814724,63.72403463502192,11070372765.53876,255.4746572792776
8000,11070372702.740591,71.38612574222928,11070372774.126717,286.1925820131362
8500,11070372701.050184,63.736402680880346,11070372764.786587,255.52424174603328
9000,11070372698.347706,64.14711037394731,11070372762.494816,257.17080112867757
9500,11070372708.520761,71.60226712686264,11070372780.123028,287.0591097915379
10000,11070372707.404509,75.77088526159328,11070372783.175394,303.7714271361335
10500,11070372694.280458,79.27479926179782,11070372773.555258,317.8188934251928
11000,11070372713.310873,86.95687759101314,11070372800.26775,348.6169485011067
11500,11070372677.788511,69.05841390546789,11070372746.846926,276.8606025308655
12000,11070372678.246172,85.2984730366935,11070372763.544645,341.96827445571984
12500,11070372680.865934,65.48549348294132,11070372746.351427,262.5364840776147
13000,11070372714.902401,64.73616897985366,11070372779.63857,259.5323833216956
13500,11070372706.88921,72.11565401095316,11070372779.004864,289.11731811145836
14000,11070372705.700817,74.47573621546512,11070372780.176554,298.57907293916105
14500,11070372688.632065,84.90577523213256,11070372773.53784,340.3939181298981
15000,11070372691.430233,60.81840195141488,11070372752.248634,243.82574775439312
15500,11070372690.674501,61.82537334655737,11070372752.499874,247.862775126208
16000,11070372696.29053,65.43692313649406,11070372761.727453,262.3417617458663
16500,11070372742.19525,55.263120472045244,11070372797.45837,221.55418820609228
17000,11070372709.87485,75.89991589423617,11070372785.774765,304.2887210714873
17500,11070372698.776886,82.02363202925183,11070372780.800518,328.83917977720307
18000,11070372696.9478,64.72547290852116,11070372761.673273,259.4895019320668
18500,11070372702.602926,75.99881808299118,11070372778.601744,304.6852277101688
19000,11070372687.075918,70.02030609026268,11070372757.096224,280.7169038096142
19500,11070372706.23131,81.61373481136854,11070372787.845045,327.19586965319365
20000,11070372719.559402,61.7883854379074,11070372781.347788,247.71448769682678
20500,11070372694.308218,89.21181423093398,11070372783.520033,357.65716650628707
21000,11070372710.249557,71.58473460100412,11070372781.834291,286.9888205190428
21500,11070372699.812551,77.10050108792205,11070372776.913054,309.10196136062154
22000,11070372702.53842,74.83831182999548,11070372777.376732,300.0326670405154
22500,11070372682.532967,81.11591988698854,11070372763.648886,325.2000905421736
23000,11070372680.502924,70.82423796202777,11070372751.327162,283.93992979331733
23500,11070372709.4396,67.6577138707485,11070372777.097313,271.2450861347278
24000,11070372698.054932,77.15989803234207,11070372775.21483,309.34008837354617
24500,11070372704.348566,62.83374499504519,11070372767.18231,251.90541622360618
25000,11070372686.801079,73.04913496306956,11070372759.850214,292.8597165280772
25500,11070372701.979155,63.66689400758824,11070372765.64605,255.24557601827536
26000,11070372715.58341,98.73265154493717,11070372814.316061,395.8269506974146
26500,11070372709.908337,55.66414879186276,11070372765.572485,223.16194222153493
27000,11070372692.782543,73.8821038264047,11070372766.664646,296.19915409042983
27500,11070372703.506794,82.76122168280378,11070372786.268015,331.79623460013113
28000,11070372702.872923,98.66871336546107,11070372801.541636,395.5706175166568
28500,11070372731.513792,85.27729470676778,11070372816.791086,341.8833688685186
29000,11070372726.890635,79.1513100751157,11070372806.041945,317.3238155817072
29500,11070372712.943033,95.51681078851522,11070372808.459845,382.9343926568396
30000,11070372696.82049,99.38889276934381,11070372796.209383,398.45787328193154
30500,11070372708.274527,69.51442021867726,11070372777.788946,278.68876763766684
31000,11070372699.880089,82.45207325247597,11070372782.332163,330.5568342743549
31500,11070372681.65498,103.92731188181004,11070372785.58229,416.65275177617264
32000,11070372707.217627,81.80553040830203,11070372789.023157,327.9647932575275
32500,11070372708.53108,94.77873611497428,11070372803.309816,379.975393350701
33000,11070372724.021738,84.848224181853,11070372808.869963,340.16319145148793
